trial,method,detected_time,EDD,ChangeType,ChangeParam,Distribution
37,Our,206,6.0,ar1,0.1,Gaussian
37,LL23,224,24.0,ar1,0.1,Gaussian
37,A19,207,7.0,ar1,0.1,Gaussian
38,Our,209,9.0,ar1,0.1,Gaussian
38,LL23,222,22.0,ar1,0.1,Gaussian
38,A19,214,14.0,ar1,0.1,Gaussian
39,Our,206,6.0,ar1,0.1,Gaussian
39,LL23,225,25.0,ar1,0.1,Gaussian
39,A19,215,15.0,ar1,0.1,Gaussian
40,Our,210,10.0,ar1,0.1,Gaussian
40,LL23,209,9.0,ar1,0.1,Gaussian
40,A19,210,10.0,ar1,0.1,Gaussian
41,Our,205,5.0,ar1,0.1,Gaussian
41,LL23,217,17.0,ar1,0.1,Gaussian
41,A19,206,6.0,ar1,0.1,Gaussian
42,Our,208,8.0,ar1,0.1,Gaussian
42,LL23,211,11.0,ar1,0.1,Gaussian
42,A19,188,-12.0,ar1,0.1,Gaussian
43,Our,207,7.0,ar1,0.1,Gaussian
43,LL23,215,15.0,ar1,0.1,Gaussian
43,A19,211,11.0,ar1,0.1,Gaussian
44,Our,207,7.0,ar1,0.1,Gaussian
44,LL23,212,12.0,ar1,0.1,Gaussian
44,A19,209,9.0,ar1,0.1,Gaussian
45,Our,207,7.0,ar1,0.1,Gaussian
45,LL23,225,25.0,ar1,0.1,Gaussian
45,A19,210,10.0,ar1,0.1,Gaussian
46,Our,203,3.0,ar1,0.1,Gaussian
46,LL23,213,13.0,ar1,0.1,Gaussian
46,A19,210,10.0,ar1,0.1,Gaussian
47,Our,204,4.0,ar1,0.1,Gaussian
47,LL23,207,7.0,ar1,0.1,Gaussian
47,A19,157,-43.0,ar1,0.1,Gaussian
48,Our,208,8.0,ar1,0.1,Gaussian
48,LL23,211,11.0,ar1,0.1,Gaussian
48,A19,213,13.0,ar1,0.1,Gaussian
49,Our,205,5.0,ar1,0.1,Gaussian
49,LL23,222,22.0,ar1,0.1,Gaussian
49,A19,213,13.0,ar1,0.1,Gaussian
50,Our,206,6.0,ar1,0.1,Gaussian
50,LL23,215,15.0,ar1,0.1,Gaussian
50,A19,208,8.0,ar1,0.1,Gaussian
51,Our,202,2.0,ar1,0.1,Gaussian
51,LL23,209,9.0,ar1,0.1,Gaussian
51,A19,182,-18.0,ar1,0.1,Gaussian
52,Our,207,7.0,ar1,0.1,Gaussian
52,LL23,203,3.0,ar1,0.1,Gaussian
52,A19,217,17.0,ar1,0.1,Gaussian
53,Our,205,5.0,ar1,0.1,Gaussian
53,LL23,225,25.0,ar1,0.1,Gaussian
53,A19,210,10.0,ar1,0.1,Gaussian
54,Our,208,8.0,ar1,0.1,Gaussian
54,LL23,207,7.0,ar1,0.1,Gaussian
54,A19,207,7.0,ar1,0.1,Gaussian
55,Our,204,4.0,ar1,0.1,Gaussian
55,LL23,217,17.0,ar1,0.1,Gaussian
55,A19,205,5.0,ar1,0.1,Gaussian
56,Our,203,3.0,ar1,0.1,Gaussian
56,LL23,211,11.0,ar1,0.1,Gaussian
56,A19,134,-66.0,ar1,0.1,Gaussian
57,Our,205,5.0,ar1,0.1,Gaussian
57,LL23,211,11.0,ar1,0.1,Gaussian
57,A19,205,5.0,ar1,0.1,Gaussian
58,Our,203,3.0,ar1,0.1,Gaussian
58,LL23,230,30.0,ar1,0.1,Gaussian
58,A19,213,13.0,ar1,0.1,Gaussian
59,Our,209,9.0,ar1,0.1,Gaussian
59,LL23,216,16.0,ar1,0.1,Gaussian
59,A19,174,-26.0,ar1,0.1,Gaussian
60,Our,205,5.0,ar1,0.1,Gaussian
60,LL23,219,19.0,ar1,0.1,Gaussian
60,A19,201,1.0,ar1,0.1,Gaussian
61,Our,205,5.0,ar1,0.1,Gaussian
61,LL23,219,19.0,ar1,0.1,Gaussian
61,A19,205,5.0,ar1,0.1,Gaussian
62,Our,206,6.0,ar1,0.1,Gaussian
62,LL23,221,21.0,ar1,0.1,Gaussian
62,A19,206,6.0,ar1,0.1,Gaussian
63,Our,203,3.0,ar1,0.1,Gaussian
63,LL23,215,15.0,ar1,0.1,Gaussian
63,A19,209,9.0,ar1,0.1,Gaussian
64,Our,206,6.0,ar1,0.1,Gaussian
64,LL23,231,31.0,ar1,0.1,Gaussian
64,A19,223,23.0,ar1,0.1,Gaussian
65,Our,205,5.0,ar1,0.1,Gaussian
65,LL23,213,13.0,ar1,0.1,Gaussian
65,A19,212,12.0,ar1,0.1,Gaussian
66,Our,204,4.0,ar1,0.1,Gaussian
66,LL23,239,39.0,ar1,0.1,Gaussian
66,A19,210,10.0,ar1,0.1,Gaussian
67,Our,205,5.0,ar1,0.1,Gaussian
67,LL23,211,11.0,ar1,0.1,Gaussian
67,A19,210,10.0,ar1,0.1,Gaussian
68,Our,207,7.0,ar1,0.1,Gaussian
68,LL23,209,9.0,ar1,0.1,Gaussian
68,A19,215,15.0,ar1,0.1,Gaussian
69,Our,205,5.0,ar1,0.1,Gaussian
69,LL23,220,20.0,ar1,0.1,Gaussian
69,A19,209,9.0,ar1,0.1,Gaussian
70,Our,205,5.0,ar1,0.1,Gaussian
70,LL23,212,12.0,ar1,0.1,Gaussian
70,A19,216,16.0,ar1,0.1,Gaussian
71,Our,202,2.0,ar1,0.1,Gaussian
71,LL23,209,9.0,ar1,0.1,Gaussian
71,A19,212,12.0,ar1,0.1,Gaussian
72,Our,208,8.0,ar1,0.1,Gaussian
72,LL23,211,11.0,ar1,0.1,Gaussian
72,A19,213,13.0,ar1,0.1,Gaussian
73,Our,204,4.0,ar1,0.1,Gaussian
73,LL23,221,21.0,ar1,0.1,Gaussian
73,A19,216,16.0,ar1,0.1,Gaussian
74,Our,207,7.0,ar1,0.1,Gaussian
74,LL23,218,18.0,ar1,0.1,Gaussian
74,A19,213,13.0,ar1,0.1,Gaussian
75,Our,203,3.0,ar1,0.1,Gaussian
75,LL23,212,12.0,ar1,0.1,Gaussian
75,A19,210,10.0,ar1,0.1,Gaussian
76,Our,208,8.0,ar1,0.1,Gaussian
76,LL23,237,37.0,ar1,0.1,Gaussian
76,A19,209,9.0,ar1,0.1,Gaussian
77,Our,204,4.0,ar1,0.1,Gaussian
77,LL23,213,13.0,ar1,0.1,Gaussian
77,A19,213,13.0,ar1,0.1,Gaussian
78,Our,208,8.0,ar1,0.1,Gaussian
78,LL23,223,23.0,ar1,0.1,Gaussian
78,A19,217,17.0,ar1,0.1,Gaussian
79,Our,208,8.0,ar1,0.1,Gaussian
79,LL23,223,23.0,ar1,0.1,Gaussian
79,A19,207,7.0,ar1,0.1,Gaussian
80,Our,205,5.0,ar1,0.1,Gaussian
80,LL23,221,21.0,ar1,0.1,Gaussian
80,A19,224,24.0,ar1,0.1,Gaussian
81,Our,205,5.0,ar1,0.1,Gaussian
81,LL23,217,17.0,ar1,0.1,Gaussian
81,A19,220,20.0,ar1,0.1,Gaussian
82,Our,207,7.0,ar1,0.1,Gaussian
82,LL23,222,22.0,ar1,0.1,Gaussian
82,A19,148,-52.0,ar1,0.1,Gaussian
83,Our,204,4.0,ar1,0.1,Gaussian
83,LL23,215,15.0,ar1,0.1,Gaussian
83,A19,205,5.0,ar1,0.1,Gaussian
84,Our,205,5.0,ar1,0.1,Gaussian
84,LL23,220,20.0,ar1,0.1,Gaussian
84,A19,204,4.0,ar1,0.1,Gaussian
85,Our,205,5.0,ar1,0.1,Gaussian
85,LL23,214,14.0,ar1,0.1,Gaussian
85,A19,195,-5.0,ar1,0.1,Gaussian
86,Our,205,5.0,ar1,0.1,Gaussian
86,LL23,214,14.0,ar1,0.1,Gaussian
86,A19,208,8.0,ar1,0.1,Gaussian
87,Our,205,5.0,ar1,0.1,Gaussian
87,LL23,218,18.0,ar1,0.1,Gaussian
87,A19,207,7.0,ar1,0.1,Gaussian
88,Our,206,6.0,ar1,0.1,Gaussian
88,LL23,217,17.0,ar1,0.1,Gaussian
88,A19,213,13.0,ar1,0.1,Gaussian
89,Our,207,7.0,ar1,0.1,Gaussian
89,LL23,213,13.0,ar1,0.1,Gaussian
89,A19,161,-39.0,ar1,0.1,Gaussian
90,Our,203,3.0,ar1,0.1,Gaussian
90,LL23,217,17.0,ar1,0.1,Gaussian
90,A19,220,20.0,ar1,0.1,Gaussian
91,Our,204,4.0,ar1,0.1,Gaussian
91,LL23,217,17.0,ar1,0.1,Gaussian
91,A19,209,9.0,ar1,0.1,Gaussian
92,Our,207,7.0,ar1,0.1,Gaussian
92,LL23,223,23.0,ar1,0.1,Gaussian
92,A19,217,17.0,ar1,0.1,Gaussian
93,Our,203,3.0,ar1,0.1,Gaussian
93,LL23,216,16.0,ar1,0.1,Gaussian
93,A19,203,3.0,ar1,0.1,Gaussian
94,Our,207,7.0,ar1,0.1,Gaussian
94,LL23,213,13.0,ar1,0.1,Gaussian
94,A19,205,5.0,ar1,0.1,Gaussian
95,Our,204,4.0,ar1,0.1,Gaussian
95,LL23,218,18.0,ar1,0.1,Gaussian
