Distribution,FunctionType,WeightFunction,K_Star,ChangeType,ChangeParam,Power,EDD
Gaussian,linear,log,450,inflation,1.4,1.0,36.774
Gaussian,linear,gamma_0.0,450,inflation,1.5,1.0,18.73082783138649
Gaussian,linear,gamma_0.25,450,inflation,1.5,1.0,18.398950131233597
Gaussian,linear,gamma_0.45,450,inflation,1.5,1.0,20.64207650273224
Gaussian,linear,log,450,inflation,1.5,1.0,28.8915
Gaussian,linear,gamma_0.0,450,ar1,0.1,1.0,9.053708439897699
Gaussian,linear,gamma_0.25,450,ar1,0.1,1.0,8.792323869610936
Gaussian,linear,gamma_0.45,450,ar1,0.1,1.0,9.801733477789815
Gaussian,linear,log,450,ar1,0.1,1.0,13.8945
Gaussian,linear,gamma_0.0,450,ar1,0.3,1.0,9.202551020408164
Gaussian,linear,gamma_0.25,450,ar1,0.3,1.0,8.965189873417721
Gaussian,linear,gamma_0.45,450,ar1,0.3,1.0,9.869327501366866
Gaussian,linear,log,450,ar1,0.3,1.0,14.03
Gaussian,linear,gamma_0.0,450,ar1,0.5,1.0,9.237730061349692
Gaussian,linear,gamma_0.25,450,ar1,0.5,1.0,8.977344573234983
Gaussian,linear,gamma_0.45,450,ar1,0.5,1.0,9.975662520281233
Gaussian,linear,log,450,ar1,0.5,1.0,14.082
Gaussian,linear,gamma_0.0,450,ar1,0.7,1.0,9.172431332655137
Gaussian,linear,gamma_0.25,450,ar1,0.7,1.0,8.964564877540386
Gaussian,linear,gamma_0.45,450,ar1,0.7,1.0,9.8948772678762
Gaussian,linear,log,450,ar1,0.7,1.0,13.9475
Gaussian,linear,gamma_0.0,450,ar1,0.9,1.0,9.270833333333334
Gaussian,linear,gamma_0.25,450,ar1,0.9,1.0,9.022477783585991
Gaussian,linear,gamma_0.45,450,ar1,0.9,1.0,9.999457700650758
Gaussian,linear,log,450,ar1,0.9,1.0,14.1225
Gaussian,linear,gamma_0.0,450,spike,2.0,1.0,17.819387755102042
Gaussian,linear,gamma_0.25,450,spike,2.0,1.0,17.4968487394958
Gaussian,linear,gamma_0.45,450,spike,2.0,1.0,19.71801850843767
Gaussian,linear,log,450,spike,2.0,1.0,27.45
Gaussian,linear,gamma_0.0,450,spike,2.5,1.0,16.736012207527974
Gaussian,linear,gamma_0.25,450,spike,2.5,1.0,16.417235943247505
Gaussian,linear,gamma_0.45,450,spike,2.5,1.0,18.420140768814292
Gaussian,linear,log,450,spike,2.5,1.0,25.907
Gaussian,linear,gamma_0.0,450,spike,3.0,1.0,16.20051020408163
Gaussian,linear,gamma_0.25,450,spike,3.0,1.0,15.81400208986416
Gaussian,linear,gamma_0.45,450,spike,3.0,1.0,17.627228525121556
Gaussian,linear,log,450,spike,3.0,1.0,24.8155
